id,lastname,firstname,middlename,birthday,card_id
871,Аксенова,Остромир,Анатольевич,1953-02-09,Эстония
872,Туров,Викторин,Елизарович,1947-02-13,Румыния
873,Беляев,Марфа,Филиппович,1957-07-29,Венгрия
874,Сафонова,Прокл,Богданович,2000-11-13,Монако
875,Пестова,Аггей,Ефимьевич,1958-10-18,Мальдивы
876,Агафонов,Казимир,Валерианович,2001-08-09,Казахстан
877,Горбунова,Ювеналий,Эдгардович,1948-12-11,Федеративные Штаты Микронезии
878,Беляков,Марк,Андреевна,1925-04-09,Того
879,Васильев,Селиверст,Тимофеевна,1970-04-27,Франция
880,Пономарева,Михаил,Никифоровна,1965-04-06,Италия
881,Михеева,Антип,Фролович,1998-07-07,Малави
882,Сидоров,Лука,Герасимович,1945-12-07,Киргизия
883,Комиссаров,Тит,Дмитриевна,2008-05-17,Бруней
884,Белоусов,Лукьян,Рубеновна,1998-06-09,Оман
885,Филиппова,Елизавета,Рудольфовна,1940-02-03,Испания
886,Щукина,Арефий,Валентинович,1951-11-25,Гамбия
887,Орехова,Мечислав,Игоревич,1949-09-20,Великобритания
888,Наумова,Соломон,Тарасовна,1981-09-20,Румыния
889,Куликов,Максимильян,Димитриевич,1909-10-18,Эфиопия
890,Жданов,Феофан,Константиновна,1962-01-07,Филиппины
891,Беляков,Руслан,Тарасович,2007-07-15,Албания
892,Зимин,Карл,Ивановна,1962-12-06,Тунис
893,Жукова,Святослав,Максимовна,1955-09-08,Турция
894,Красильников,Вячеслав,Вячеславовна,1945-01-24,Гана
895,Фомин,Марк,Руслановна,1968-12-19,Великобритания
896,Зайцев,Станислав,Эдуардовна,1937-07-02,Чехия
897,Дроздов,Милен,Антонович,1932-04-02,Гайана
898,Симонов,Кирилл,Павловна,2014-04-29,Босния и Герцеговина
899,Федосеев,Милий,Матвеевич,1930-02-08,Колумбия
900,Кириллова,Демид,Демидович,1985-08-22,Гренада
901,Федорова,Лидия,Игнатьевич,1932-01-01,Эритрея
902,Ларионов,Влас,Глебович,1910-04-26,Кения
903,Кононов,Мирослав,Арсеньевич,1988-10-12,Мозамбик
904,Абрамова,Данила,Харитонович,1981-12-20,Танзания
905,Гаврилов,Остромир,Афанасьевна,1972-08-11,Афганистан
906,Крылов,Родион,Яковлевна,1979-10-06,Тувалу
907,Воронова,Алла,Вячеславовна,2002-09-11,ЮАР
908,Юдина,Игнатий,Ермилович,1978-02-23,Гренада
909,Казаков,Куприян,Максимовна,1945-12-17,Буркина-Фасо
910,Маслов,Ольга,Ерофеевич,1973-10-14,Словакия
911,Алексеева,Елена,Эдуардовна,1942-02-02,Дания
912,Никифорова,Кондрат,Викторовна,1948-05-17,Коморы
913,Большаков,Юлий,Геннадиевич,1984-03-24,Латвия
914,Доронин,Олег,Евсеевич,2020-05-22,Литва
915,Князев,Всеволод,Феликсович,1917-03-20,Чили
916,Герасимова,Пахом,Германович,1909-06-21,Монако
917,Шарапова,Соломон,Андреевич,1982-04-15,Ирак
918,Осипова,Анатолий,Георгиевна,1924-04-04,Малайзия
919,Марков,Нонна,Ильич,1989-08-13,Белиз
920,Русаков,Владилен,Владиславовна,2016-10-22,Науру
921,Зайцева,Варлаам,Ефстафьевич,1998-10-29,Алжир
922,Крылова,Автоном,Виленович,1998-03-20,Эфиопия
923,Богданов,Юрий,Ярославович,1932-04-14,Бурунди
924,Воробьева,Велимир,Антоновна,1980-10-13,Белоруссия
925,Боброва,Роман,Антоновна,2014-06-30,Кабо-Верде
926,Колесников,Гордей,Архиповна,2014-08-20,Испания
927,Рябов,Аверьян,Рубеновна,1971-06-18,Лесото
928,Тихонова,Ферапонт,Артемьевич,1912-02-27,ОАЭ
929,Дементьева,Фока,Венедиктович,1970-03-19,Канада
930,Ильина,Ирина,Константиновна,2012-06-17,Белиз
931,Гусев,Данила,Всеволодович,1971-06-19,Ангола
932,Артемьев,Вероника,Кирилловна,1919-12-25,Мексика
933,Лыткина,Елизар,Леонидовна,2001-09-19,ОАЭ
934,Ларионова,Юлиан,Виленович,1978-11-22,Сан-Томе и Принсипи
935,Иванов,Светозар,Кирилловна,2000-02-13,Сан-Томе и Принсипи
936,Мишин,Евдокия,Владиславович,2002-11-13,Казахстан
937,Федосеев,Фрол,Владиславович,2006-02-06,Сент-Китс и Невис
938,Коновалова,Ия,Еремеевич,1979-12-17,Гвинея-Бисау
939,Пахомова,Клавдий,Гаврилович,2003-03-29,Руанда
940,Кабанов,Авксентий,Федосьевич,1950-01-26,Сербия
941,Кузьмина,Евдокия,Иларионович,1992-09-04,Лаос
942,Кондратьев,Кондрат,Борисовна,1965-02-25,Китай
943,Семенов,Оксана,Елизарович,1908-05-20,Джибути
944,Гусев,Тамара,Филиппович,1954-12-01,Греция
945,Сергеева,Светлана,Геннадьевна,2015-12-11,Ливия
946,Семенов,Авксентий,Валериевна,1937-03-15,Доминика
947,Родионов,Пантелеймон,Данилович,1970-06-10,Израиль
948,Савина,Дарья,Федотович,1948-04-05,Австрия
949,Кириллова,Будимир,Зиновьевич,1935-06-17,Колумбия
950,Павлова,Полина,Адрианович,1991-04-13,Камбоджа
951,Гурьева,Лазарь,Вилорович,2008-01-25,Руанда
952,Большаков,Серафим,Матвеевна,1938-02-13,Вануату
953,Титов,Порфирий,Захарьевич,1911-01-25,Тонга
954,Голубева,Кондратий,Якубович,1998-06-26,Гаити
955,Мясникова,Аскольд,Изотович,1952-01-22,Багамские Острова
956,Ларионов,Тихон,Бенедиктович,1952-10-08,Китай
957,Пономарева,Милан,Захаровна,1950-12-11,Багамские Острова
958,Дементьева,Тамара,Димитриевич,1946-05-18,Израиль
959,Казаков,Татьяна,Афанасьевна,1973-03-15,Зимбабве
960,Никитин,Регина,Оскаровна,2021-12-10,Япония
961,Большакова,Карл,Федоровна,2013-08-18,Сьерра-Леоне
962,Кондратьев,Мечислав,Филипповна,1909-07-06,Грузия
963,Харитонов,Гаврила,Ефимовна,2016-02-26,Уругвай
964,Маркова,Антип,Евсеевич,2017-05-05,Тринидад и Тобаго
965,Жданов,Евгения,Игоревна,1926-05-02,Ямайка
966,Молчанов,Владлен,Петровна,1947-09-04,Лесото
967,Шубин,Трофим,Ермилович,1960-06-20,Мальдивы
968,Беляков,Остромир,Ануфриевич,1956-06-09,Гайана
969,Федоров,Герасим,Тарасовна,1993-01-27,Ирландия
970,Мясникова,Давыд,Фомич,1968-07-31,Гайана
971,Капустина,Евгений,Антипович,2001-08-16,Тринидад и Тобаго
972,Бурова,Тарас,Еремеевич,1959-01-07,Сент-Китс и Невис
973,Шубина,Юлиан,Валентиновна,1990-11-02,Бразилия
974,Игнатов,Глафира,Дорофеевич,1981-01-18,Кот-д’Ивуар
975,Давыдов,Амвросий,Брониславович,2016-10-20,Украина
976,Фролов,Наина,Юрьевна,1913-08-22,Палау
977,Третьяков,Ипатий,Наумовна,1932-05-31,Албания
978,Суворова,Юрий,Ильинична,1933-05-11,Папуа
979,Яковлева,Натан,Брониславович,1966-04-24,Фиджи
980,Панфилов,Евсей,Венедиктович,1959-09-17,Тонга
981,Уваров,Любосмысл,Жанович,1935-10-03,ОАЭ
982,Михеева,Изяслав,Оскаровна,1968-01-04,Кения
983,Сафонова,Сильвестр,Максимовна,2021-03-21,Киргизия
984,Миронова,Леонтий,Августович,1973-12-23,Федеративные Штаты Микронезии
985,Суханов,Владлен,Яковлевна,1997-04-07,Самоа
986,Кузнецова,Алла,Ануфриевич,1994-01-18,Ирландия
987,Попова,Константин,Брониславович,1933-07-10,Китай
988,Силина,Максим,Олеговна,2021-02-11,Парагвай
989,Морозова,Ладимир,Макаровна,2010-07-10,Соломоновы Острова
990,Терентьева,Велимир,Ильясович,2006-02-17,Албания
991,Овчинников,Самуил,Феликсович,2013-07-14,Греция
992,Кузнецова,Екатерина,Валерьевич,1958-01-18,Ангола
993,Харитонов,Лукьян,Филиппович,1942-04-14,Египет
994,Воронов,Виталий,Павловна,2017-04-16,Маврикий
995,Пахомов,Евдокия,Иларионович,1919-06-17,Тринидад и Тобаго
996,Пахомова,Станимир,Демидович,2009-03-01,Ливия
997,Константинов,Аскольд,Эдуардович,1955-07-24,Федеративные Штаты Микронезии
998,Сафонов,Наркис,Аскольдовна,1978-03-28,Бенин
999,Павлова,Борис,Романовна,1996-02-03,Шри-Ланка
1000,Яковлева,Иван,Даниловна,1942-10-13,Нигерия
