id,lastname,firstname,middlename,birthday,country
879,Фомичева,Савва,Ефремович,1907-09-03,Ирак
880,Кириллова,Дарья,Филипповна,2000-03-13,Израиль
881,Сорокин,Лукия,Ивановна,1996-10-11,Пакистан
882,Петров,Эмиль,Леоновна,1954-03-19,Гайана
883,Копылов,Спартак,Валериевна,1922-05-23,Сингапур
884,Щербаков,Олимпиада,Валерьянович,1960-03-18,Камерун
885,Прохорова,Каллистрат,Фокич,2021-11-11,Сирия
886,Некрасова,Авдей,Юрьевна,1988-09-22,Гренада
887,Романова,Варвара,Исидорович,1995-05-17,Непал
888,Виноградов,Любомир,Валерьянович,2000-02-29,Киргизия
889,Лыткин,Пимен,Адамович,1999-07-30,Кот-д’Ивуар
890,Лобанов,Аггей,Викторовна,1951-03-30,Алжир
891,Романова,Дорофей,Мироновна,1945-07-04,Сент-Винсент и Гренадины
892,Лобанов,Фока,Харлампович,1989-06-13,Камбоджа
893,Романова,Полина,Ефимовна,1977-01-13,Литва
894,Павлова,Осип,Александрович,1925-12-26,Панама
895,Исаев,Филимон,Феоктистович,1968-04-09,Албания
896,Рябова,Евстигней,Эдуардович,1942-02-17,Центральноафриканская Республика
897,Котов,Эдуард,Авдеевич,1970-02-07,Германия
898,Агафонов,Александра,Валерьевич,1970-12-28,Йемен
899,Носкова,Софрон,Филатович,1933-05-06,Мексика
900,Гуляева,Евфросиния,Еремеевич,1961-03-16,Кот-д’Ивуар
901,Овчинников,Мирослав,Романовна,1983-04-18,Индия
902,Петухова,Тамара,Эдуардовна,2003-10-06,Венесуэла
903,Тарасова,Глеб,Гордеевич,2007-10-07,Гвинея
904,Уваров,Фаина,Андреевна,1926-09-25,Руанда
905,Филатов,Лука,Максимовна,1977-12-01,Танзания
906,Щербакова,Фока,Эльдаровна,1917-12-02,Лесото
907,Фадеева,Фома,Алексеевич,2013-04-14,Сент-Винсент и Гренадины
908,Егорова,Антонин,Рудольфовна,1929-02-19,Боливия
909,Кузьмина,Платон,Натановна,1950-08-05,Самоа
910,Авдеев,Валентина,Валентинович,1995-11-29,Эфиопия
911,Никитина,Пимен,Эльдаровна,1980-02-18,Габон
912,Авдеев,Константин,Харитоновна,1912-06-22,Антигуа и Барбуда
913,Игнатова,Лазарь,Иосифович,1929-02-25,Маврикий
914,Егоров,Аркадий,Константиновна,2012-01-13,Джибути
915,Архипов,Ерофей,Геннадьевна,1978-02-18,Украина
916,Некрасова,Селиверст,Ануфриевич,1958-01-26,Чехия
917,Никифорова,Самсон,Владимировна,1963-08-31,Израиль
918,Анисимов,Фёкла,Дорофеевич,1993-02-11,Гвинея-Бисау
919,Крюкова,Трифон,Ильинична,1918-09-28,США
920,Титов,Аверкий,Альбертовна,1972-06-13,Литва
921,Бобылева,Гостомысл,Трофимович,1980-08-21,Бенин
922,Брагин,Мария,Игнатович,2012-12-03,Либерия
923,Наумова,Марина,Леоновна,2000-03-28,Багамские Острова
924,Гущина,Кира,Рудольфовна,1954-11-04,Руанда
925,Сидоров,Ян,Владиленович,1985-06-04,Андорра
926,Ермаков,Эдуард,Геннадиевич,1917-10-30,Сан-Марино
927,Королев,Евпраксия,Феоктистович,1945-04-10,Эквадор
928,Исаков,Эммануил,Гертрудович,2009-12-25,Боливия
929,Суханов,Прокл,Харлампьевич,1939-01-31,Алжир
930,Фомин,Ирина,Артурович,1948-06-22,Гаити
931,Сидоров,Иван,Семеновна,1995-10-20,Сан-Томе и Принсипи
932,Федотова,Савелий,Иларионович,1951-06-01,Сан-Марино
933,Гусев,Алевтина,Петровна,1994-08-19,Сингапур
934,Моисеев,Доброслав,Фадеевич,1915-07-01,Армения
935,Власов,Глафира,Измаилович,2009-03-10,Гайана
936,Логинов,Петр,Валерианович,1938-05-25,Сомали
937,Васильев,Фома,Владиславович,1986-07-09,Словакия
938,Архипов,Казимир,Глебович,1924-12-10,Лесото
939,Абрамова,Парфен,Виленович,1908-12-28,Бангладеш
940,Прохорова,Ферапонт,Кузьминична,1987-06-26,Федеративные Штаты Микронезии
941,Чернова,Архип,Федоровна,2020-04-09,Фиджи
942,Лобанова,Потап,Харитонович,1907-01-13,Бутан
943,Воробьева,Панкратий,Кузьминична,1949-03-26,Украина
944,Ковалев,Лукия,Максимовна,1943-12-10,Гаити
945,Маслов,Спиридон,Максимовна,1953-07-29,Чад
946,Тарасов,Богдан,Филипповна,1921-07-24,Латвия
947,Шашков,Никодим,Геннадиевна,1910-11-09,Маршалловы Острова
948,Фокина,Ия,Адрианович,1952-02-27,Бразилия
949,Николаева,Ирина,Ильинична,1980-04-01,Северная Македония
950,Третьяков,Любомир,Львовна,1919-12-31,Гвинея-Бисау
951,Шубин,Модест,Харлампьевич,1952-06-29,Лесото
952,Филиппов,Гурий,Гертрудович,1940-06-28,Великобритания
953,Дорофеев,Алевтина,Даниловна,1954-10-04,Сингапур
954,Зимина,Фрол,Еремеевич,1939-10-14,Колумбия
955,Артемьев,Алла,Денисович,1976-01-16,Кабо-Верде
956,Турова,Артем,Архипович,2002-10-17,Гамбия
957,Соколов,Платон,Гордеевич,2012-11-21,Украина
958,Иванова,Игорь,Алексеевна,1910-10-17,Папуа
959,Кудряшов,Митофан,Аверьянович,1911-07-08,Антигуа и Барбуда
960,Гущина,Автоном,Абрамович,1908-03-27,Норвегия
961,Терентьев,Аникей,Игоревна,1986-12-21,Мьянма
962,Симонова,Евпраксия,Всеволодович,1966-10-15,Израиль
963,Суханова,Касьян,Кузьминична,2001-09-21,Бахрейн
964,Шилова,Онуфрий,Григорьевна,1916-11-08,Танзания
965,Красильников,Исидор,Вениаминовна,1921-07-11,Вануату
966,Беспалова,Владилен,Еремеевич,1981-02-15,Сальвадор
967,Николаева,Федот,Зиновьевич,1925-10-10,Федеративные Штаты Микронезии
968,Савельева,Тит,Ильич,1923-02-03,Франция
969,Баранова,Глеб,Аркадьевна,1961-08-10,Малави
970,Жуков,Ратмир,Эльдаровна,1933-11-14,Соломоновы Острова
971,Русакова,Никодим,Харитоновна,1907-09-19,Хорватия
972,Гущин,Нина,Виленович,2018-11-24,Монголия
973,Баранов,Вячеслав,Фролович,1942-03-27,Польша
974,Прохорова,Кир,Жанович,2006-03-28,Иордания
975,Воробьев,Федосий,Андреевна,2019-01-07,США
976,Кулагин,Марк,Аксёнович,1976-06-11,Танзания
977,Гордеев,Силантий,Михайловна,2005-09-13,Самоа
978,Сысоев,Арсений,Анисимович,1987-07-22,Аргентина
979,Кошелева,Евсей,Витальевич,1968-06-13,Вьетнам
980,Колесникова,Сильвестр,Артурович,1907-01-30,Турция
981,Комиссарова,Никон,Валентинович,1974-01-03,Либерия
982,Туров,Демьян,Ярославович,2007-10-26,Белоруссия
983,Васильева,Юрий,Яковлевна,1916-12-14,Либерия
984,Коновалова,Жанна,Евгеньевна,1931-11-08,Лесото
985,Некрасов,Никон,Арсеньевич,1923-11-21,Исландия
986,Казаков,Олимпиада,Михайловна,1912-04-16,Маршалловы Острова
987,Миронов,Ювеналий,Феофанович,2002-11-14,Камбоджа
988,Гуляев,Авдей,Харлампович,1996-09-03,Ливия
989,Мамонтова,Елизар,Валерианович,2018-09-27,Куба
990,Анисимова,Константин,Тарасович,1929-05-20,Южный Судан
991,Жуков,Ярослав,Демидович,1938-02-27,Тувалу
992,Артемьев,Будимир,Викентьевич,2022-03-26,Фиджи
993,Григорьева,Денис,Вячеславович,1909-11-06,Греция
994,Орехова,Онуфрий,Владиславовна,2019-04-07,Аргентина
995,Рогова,Дорофей,Афанасьевна,2009-04-05,Монако
996,Некрасов,Владимир,Геннадьевна,1954-06-19,Япония
997,Титова,Вероника,Якубович,1952-01-13,Суринам
998,Ермаков,Аскольд,Терентьевич,2011-12-10,Сальвадор
999,Баранов,Ян,Тимуровна,1939-03-07,Словения
1000,Егорова,Руслан,Вячеславович,1973-01-04,Словакия
